Stage	Stage_16
Cdc42se2	0.001242
Ccdc107	-0.003310
2410006H16Rik	-0.001015
Sephs2	-0.000411
Dppa2	-0.003173
Klhl11	-0.000801
Hspa5	-0.000640
Rpl30	-0.000865
Mrpl42	-0.000324
Eif3k	-0.000156
Cox8a	-0.000163
Uqcrh	-0.000276
Mlf2	-0.000952
Tmem59	0.000273
Tspan4	0.000029
Eif4e	-0.000274
Fcgr3	-0.002701
Rpl6	-0.000372
Suclg1	-0.000125
Gm10012	0.000067
Eif2s2	-0.000542
AU015836	0.001591
Prdx6	-0.000977
Polr1d	-0.000293
Psmb1	-0.000563
Dnajb6	0.000155
Morf4l2	-0.000184
Prss8	0.002082
Eif5	0.000003
Esd	-0.001220
Idh3a	0.000771
Hn1	-0.000037
Fcf1	-0.000286
Snord49a	-0.003018
Cpxm1	-0.002096
Rpl10a	-0.000534
Ndufc2	-0.000401
Ccdc163	-0.001926
Ndufb6	0.000050
Pgk1	0.000698
Lamp2	-0.001402
Ctsh	0.002096
Chmp4b	-0.000025
Cthrc1	-0.000319
Rpl30	-0.000231
Gata3	0.004075
Snrpc	-0.000342
Rpl29	-0.000307
Zfp433	0.000183
Hmgb1	-0.000131
Cdk20	0.000127
Ndufb10	0.000449
Ndufs6	-0.000082
Snord34	-0.002058
Usmg5	-0.000078
Ndufa5	-0.000148
Foxr1	-0.000182
Glipr2	0.001112
Gdpd1	0.000033
Taldo1	-0.000031
Pld1	-0.001583
Gm13051	-0.003490
Mrps21	-0.000329
Tubb6	-0.001354
Atp6ap2	0.000446
Paip1	-0.000328
Rbm18	-0.001567
Ndufa6	0.000134
Zc3hc1	-0.001601
1810006K21Rik	-0.000640
Ssr2	-0.000805
Fam54a	-0.001486
Serpinb6a	0.000318
Tmx2	-0.001479
Phc2	-0.000111
Slc39a2	0.003061
Gm13611	-0.000455
Mrpl33	0.000152
Rhoc	0.000827
Hadhb	-0.000307
Pnrc1	-0.001392
Snord52	-0.002411
Tpi1	0.000682
Bcap31	-0.000221
Lgals4	0.002598
Nupr1	0.001041
Ndufb5	-0.000142
Hdgf	0.000288
Acox1	-0.001268
Cap1	0.001141
Ctsz	0.001407
Apoo	-0.000656
Cdc42	0.000551
Ndufs7	0.000068
Hint1	-0.000389
Slc25a3	0.000698
Sdhd	-0.001156
Arpc2	0.000670
Adrm1	-0.000230
Rpl36a	-0.000412
Cks1b	-0.000523
Hist1h4d	0.000568
Havcr1	0.001258
Nt5c3l	-0.002606
Tfpi	-0.004280
Pcnp	-0.000157
Vamp8	0.001647
Xlr3c	0.001465
Gng10	-0.000473
Krtcap2	0.000293
2900010J23Rik	-0.000421
2900073G15Rik	0.000586
Enpep	0.003404
Xlr3a	0.001124
Psmc1	-0.000520
1810035L17Rik	-0.000461
2610019F03Rik	0.002031
Cox7a2	-0.000115
Ndufa8	0.000151
2810405K02Rik	0.003017
Eif3m	-0.000659
Qdpr	-0.000834
Zfp42	-0.000665
Serpinb9b	0.000402
Nop10	-0.000157
Ctsb	-0.003868
Calm1	0.000911
Chchd2	-0.000205
Dpy30	-0.000677
H3f3b	0.000352
Dppa4	-0.001823
Eef1e1	-0.000112
Rps29	-0.000253
Aurkc	-0.002266
Psmc4	-0.000125
Mdm4	-0.001259
Pebp1	-0.001860
Nasp	-0.000200
Ceacam10	-0.002682
Tmem97	-0.002163
Rab7	-0.000133
Snx1	0.001010
Cbs	0.004689
Med27	-0.001843
Rpl24	-0.000478
Papd7	-0.000443
Wdr74	-0.001112
Eif3i	-0.000059
Gjb3	0.000077
Cox7b	-0.000502
Eif6	-0.001006
Cct7	-0.000304
Clpx	-0.000616
Tomm22	0.000207
Psmb5	-0.000409
Zfp36l1	-0.002725
Msra	-0.001967
Uhrf1	-0.001739
Ppp1r15a	-0.000717
Polr2f	-0.000243
Tuba1a	-0.000842
Sep15	-0.000136
Hmgn5	-0.001370
Eif1	0.000180
Hsd17b6	0.003263
Slc38a4	-0.000981
Cyb5r3	-0.000991
Arl6ip1	-0.000900
Nedd8	-0.000256
Capza1	0.000722
Rps17	-0.001733
Slc34a2	0.002010
Cndp2	0.000904
Pdia3	0.000044
Nit2	-0.000805
Tmem141	0.000655
Sertad1	-0.001608
Cnot7	-0.000892
Snora65	-0.001311
Cbr2	-0.001518
Psmc5	-0.000234
Lsm3	-0.000274
Snord4a	-0.001700
Snora41	-0.001927
Dap	-0.000325
Padi6	-0.000304
Kbtbd8	-0.000600
Prdx4	-0.001795
Cct8	-0.000415
Ndufb4	-0.000779
Mtmr14	-0.001533
Ube2i	-0.000486
Cdk1	-0.001433
Gmnn	-0.000204
Pabpc4	-0.000024
Hand1	-0.000725
Dnaja1	-0.000558
Gldc	-0.000963
Ywhae	-0.000284
Tmed2	0.000423
Ahcy	-0.002389
Ndufa2	-0.000901
Tspan1	0.002910
Eif3h	-0.000081
Polr2j	-0.000243
BC002163	0.000053
Fau	0.000014
Dusp7	-0.000970
Rsl24d1	-0.000417
Sdhc	-0.000335
Anxa3	0.002514
Cbx3	-0.000481
Gm13128	-0.003304
Clp1	-0.001437
Tsc22d1	-0.002580
Dad1	0.000149
Nlrp5	-0.000509
Foxj3	0.000427
2700094K13Rik	-0.000835
Bod1	0.000060
Psma5	-0.000260
Larp1b	0.001025
Mocs2	0.001017
A530032D15Rik	-0.001804
Eif4a2	-0.000962
Gnas	-0.000362
Spcs1	-0.000820
Rpp21	-0.000157
Cyp2s1	0.001493
Gabarap	-0.000093
Polr1c	-0.000882
Srp14	-0.000815
Rpl39l	-0.000856
Tuba1c	-0.000788
Dynlt3	0.000273
Gm13154	-0.001231
Eef2k	-0.000670
Echdc2	-0.000092
Gng12	0.000289
Pcx	0.000388
H2-Ke6	0.001368
Fam165b	-0.001291
Tcea1	-0.000607
1110004F10Rik	-0.000669
Aes	-0.001470
Polr2h	-0.000476
Ndufb7	0.000116
Eif3g	-0.000730
Npl	-0.001064
Wdr1	0.000971
9530008L14Rik	0.001178
Trim28	-0.000981
Hcrt	0.000002
Dnase2a	-0.001645
9530068E07Rik	-0.000673
Atp5b	0.000096
Psmc2	-0.000469
Cdc26	0.000044
6720456B07Rik	0.000488
Gas5	-0.000729
Mrps18c	-0.000294
Renbp	-0.000204
Dynll1	-0.000521
Serpinb6c	0.000990
Gm9376	0.000420
Eif3e	-0.000062
Polr2e	-0.000152
0610005C13Rik	-0.000005
Snrpd3	-0.000328
1810046J19Rik	0.000778
Psmd14	-0.000301
Ptges	0.001950
Aven	-0.001487
Naalad2	-0.000302
Acadvl	-0.000916
Snora33	-0.002188
5430416N02Rik	-0.001594
4930583H14Rik	-0.004248
Cryab	0.004677
Angel2	-0.000729
Vps29	-0.000893
Hadh	0.000180
Vdac1	-0.000453
Cnn3	0.001774
Brp44	0.000385
Prdx3	-0.000457
Tmprss2	0.003834
Pdpn	-0.001089
Snrpe	-0.000264
Mccc1	-0.000783
Stmn3	-0.001800
Ndufa12	-0.000063
Mfge8	-0.003831
D8Ertd738e	0.000165
Hat1	-0.000209
Epn2	0.000320
Nsfl1c	-0.000600
Fmr1nb	-0.000820
Cnpy2	-0.001979
Gm15455	-0.000658
Idh3g	-0.001130
Med31	-0.000517
Atp6ap1	-0.000044
Nolc1	-0.000386
Osbpl9	-0.001822
Ankrd10	-0.001769
Rab17	0.001297
Commd4	-0.000668
Rps6	-0.000141
1810009A15Rik	-0.000635
Depdc7	0.001310
Hint2	0.000029
Ywhaz	-0.000191
Psme2	-0.001119
Snx3	-0.000049
Srsf5	-0.000091
Vdac3	0.000524
Tpm3	0.000124
Echs1	-0.000629
Dnajc15	-0.000810
Nsa2	-0.000689
Pcna	-0.000340
A630007B06Rik	0.000020
Tbca	-0.000306
Hmgn2	-0.000270
Tinagl1	0.003232
Dctpp1	-0.001437
Tecr	-0.000315
Emg1	-0.000282
Gnpnat1	-0.002220
Cnpy4	-0.001278
Serinc3	0.000274
Psmc3	0.000170
Mrps6	-0.001552
Bglap2	-0.000211
Hexa	-0.000669
Nanog	-0.002491
Drg2	-0.002289
Pnkd	-0.000088
2810002N01Rik	-0.001182
LOC100042049	-0.000838
Amd1	0.000871
4930500J02Rik	-0.000966
Abhd6	-0.001030
Lrr1	0.000176
Gulo	-0.001689
Asf1b	-0.001460
Tm2d3	-0.000372
Haus1	-0.001347
Vapa	0.000206
H2-Ke2	-0.000891
Xlr5a	0.001200
Sssca1	-0.001317
Rnf34	0.000363
Klc1	-0.001061
Tcirg1	0.000643
Dcaf13	0.000346
F11r	0.000733
